# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2000843000,1,2,2,1056,60,2816.00,160.00
2000846000,1,2,1,60,1056,160.00,2816.00
2000846000,1,2,2,1056,60,2816.00,160.00
2000849000,1,2,1,60,1056,160.00,2816.00
2000849000,1,2,2,1056,60,2816.00,160.00
2000852000,1,2,1,120,2112,320.00,5632.00
2000852000,1,2,2,2112,120,5632.00,320.00
2000855000,1,2,1,60,1056,160.00,2816.00
2000855000,1,2,2,1056,60,2816.00,160.00
2000858000,1,2,1,60,1056,160.00,2816.00
2000858000,1,2,2,1056,60,2816.00,160.00
2000861000,1,2,1,120,2112,320.00,5632.00
2000861000,1,2,2,2112,120,5632.00,320.00
2000864000,1,2,1,60,1056,160.00,2816.00
2000864000,1,2,2,1056,60,2816.00,160.00
2000867000,1,2,1,120,2112,320.00,5632.00
2000867000,1,2,2,2112,120,5632.00,320.00
2000870000,1,2,1,60,1056,160.00,2816.00
2000870000,1,2,2,1056,60,2816.00,160.00
2000873000,1,2,1,60,2112,160.00,5632.00
2000873000,1,2,2,2112,60,5632.00,160.00
2000876000,1,2,1,120,1056,320.00,2816.00
2000876000,1,2,2,1056,120,2816.00,320.00
2000879000,1,2,1,60,2112,160.00,5632.00
2000879000,1,2,2,2112,60,5632.00,160.00
2000882000,1,2,1,120,1056,320.00,2816.00
2000882000,1,2,2,1056,120,2816.00,320.00
2000885000,1,2,1,60,2112,160.00,5632.00
2000885000,1,2,2,2112,60,5632.00,160.00
2000888000,1,2,1,120,1056,320.00,2816.00
2000888000,1,2,2,1056,120,2816.00,320.00
2000891000,1,2,1,120,2112,320.00,5632.00
2000891000,1,2,2,2112,120,5632.00,320.00
2000894000,1,2,1,60,1056,160.00,2816.00
2000894000,1,2,2,1056,60,2816.00,160.00
2000897000,1,2,1,120,2112,320.00,5632.00
2000897000,1,2,2,2112,120,5632.00,320.00
2000900000,1,2,1,60,2112,160.00,5632.00
2000900000,1,2,2,2112,60,5632.00,160.00
2000903000,1,2,1,120,1056,320.00,2816.00
2000903000,1,2,2,1056,120,2816.00,320.00
2000906000,1,2,1,120,2112,320.00,5632.00
2000906000,1,2,2,2112,120,5632.00,320.00
2000909000,1,2,1,60,2112,160.00,5632.00
2000909000,1,2,2,2112,60,5632.00,160.00
2000912000,1,2,1,120,1056,320.00,2816.00
2000912000,1,2,2,1056,120,2816.00,320.00
2000915000,1,2,1,120,2112,320.00,5632.00
2000915000,1,2,2,2112,120,5632.00,320.00
2000918000,1,2,1,60,2112,160.00,5632.00
2000918000,1,2,2,2112,60,5632.00,160.00
2000921000,1,2,1,120,2112,320.00,5632.00
2000921000,1,2,2,2112,120,5632.00,320.00
2000924000,1,2,1,120,1056,320.00,2816.00
2000924000,1,2,2,1056,120,2816.00,320.00
2000927000,1,2,1,120,2112,320.00,5632.00
2000927000,1,2,2,2112,120,5632.00,320.00
2000930000,1,2,1,120,2112,320.00,5632.00
2000930000,1,2,2,2112,120,5632.00,320.00
2000933000,1,2,1,60,2112,160.00,5632.00
2000933000,1,2,2,2112,60,5632.00,160.00
2000936000,1,2,1,120,2112,320.00,5632.00
2000936000,1,2,2,2112,120,5632.00,320.00
2000939000,1,2,1,120,2112,320.00,5632.00
2000939000,1,2,2,2112,120,5632.00,320.00
2000942000,1,2,1,120,2112,320.00,5632.00
2000942000,1,2,2,2112,120,5632.00,320.00
2000945000,1,2,1,120,1056,320.00,2816.00
2000945000,1,2,2,1056,120,2816.00,320.00
2000948000,1,2,1,120,2112,320.00,5632.00
2000948000,1,2,2,2112,120,5632.00,320.00
2000951000,1,2,1,120,2112,320.00,5632.00
2000951000,1,2,2,2112,120,5632.00,320.00
2000954000,1,2,1,120,2112,320.00,5632.00
2000954000,1,2,2,2112,120,5632.00,320.00
2000957000,1,2,1,120,3168,320.00,8448.00
2000957000,1,2,2,3168,120,8448.00,320.00
2000960000,1,2,1,120,2112,320.00,5632.00
2000960000,1,2,2,2112,120,5632.00,320.00
2000963000,1,2,1,120,2112,320.00,5632.00
2000963000,1,2,2,2112,120,5632.00,320.00
2000966000,1,2,1,120,2112,320.00,5632.00
2000966000,1,2,2,2112,120,5632.00,320.00
2000969000,1,2,1,120,2112,320.00,5632.00
2000969000,1,2,2,2112,120,5632.00,320.00
2000972000,1,2,1,180,2112,480.00,5632.00
2000972000,1,2,2,2112,180,5632.00,480.00
2000975000,1,2,1,120,2112,320.00,5632.00
2000975000,1,2,2,2112,120,5632.00,320.00
2000978000,1,2,1,120,2112,320.00,5632.00
2000978000,1,2,2,2112,120,5632.00,320.00
2000981000,1,2,1,120,3168,320.00,8448.00
